symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-06-20 00:00:00+00:00,154.1,157.33,153.52,156.77,8754182,38.3092947047,39.1122734321,38.165106574,38.973057306,35016728,0.0,1.0
NVDA,2019-06-21 00:00:00+00:00,151.76,155.48,151.5,153.5,10860672,37.7275701777,38.6523630155,37.6629341191,38.1601345695,43442688,0.0,1.0
NVDA,2019-06-24 00:00:00+00:00,152.66,153.85,150.72,152.62,7073718,37.9513103804,38.2471446484,37.4690259435,37.9413663714,28294872,0.0,1.0
NVDA,2019-06-25 00:00:00+00:00,151.48,155.88,151.37,152.86,7796661,37.6579621146,38.7518031055,37.6306160898,38.0010304254,31186644,0.0,1.0
NVDA,2019-06-26 00:00:00+00:00,159.26,161.72,156.09,156.61,14601825,39.5920718667,40.2036284208,38.8040091528,38.9332812699,58407300,0.0,1.0
NVDA,2019-06-27 00:00:00+00:00,163.23,164.0,161.26,162.71,11136038,40.5790147608,40.7704369342,40.0892723172,40.4497426437,44544152,0.0,1.0
NVDA,2019-06-28 00:00:00+00:00,164.23,165.37,162.35,165.0,9941659,40.827614986,41.1110192428,40.3602465626,41.0190371594,39766636,0.0,1.0
NVDA,2019-07-01 00:00:00+00:00,166.17,173.95,164.66,172.57,17788327,41.3098994229,43.2440091751,40.9345130829,42.9009408643,71153308,0.0,1.0
NVDA,2019-07-02 00:00:00+00:00,162.23,166.35,161.7,165.5,10005688,40.3304145356,41.3546474635,40.1986564162,41.143337272,40022752,0.0,1.0
NVDA,2019-07-03 00:00:00+00:00,162.75,163.4,160.34,163.17,6165856,40.4596866527,40.6212767991,39.86056011,40.5640987473,24663424,0.0,1.0
NVDA,2019-07-05 00:00:00+00:00,160.23,160.58,157.68,160.4,9913847,39.8332140852,39.920224164,39.1992835109,39.8754761235,39655388,0.0,1.0
NVDA,2019-07-08 00:00:00+00:00,157.21,158.59,156.0,157.83,8244669,39.0824414051,39.4255097159,38.7816351326,39.2365735447,32978676,0.0,1.0
NVDA,2019-07-09 00:00:00+00:00,157.31,158.44,155.0,155.51,8571512,39.1073014276,39.3882196821,38.5330349074,38.6598210222,34286048,0.0,1.0
NVDA,2019-07-10 00:00:00+00:00,160.06,162.37,158.5,159.06,11301899,39.7909520469,40.3652185671,39.4031356956,39.5423518217,45207596,0.0,1.0
NVDA,2019-07-11 00:00:00+00:00,166.28,167.92,161.5,163.0,17063964,41.3372454477,41.744949817,40.1489363712,40.521836709,68255856,0.0,1.0
NVDA,2019-07-12 00:00:00+00:00,167.61,170.47,167.4,167.4,12659816,41.6678837472,42.3788803913,41.6156776999,41.6156776999,50639264,0.0,1.0
NVDA,2019-07-15 00:00:00+00:00,167.27,169.11,166.13,168.46,7245993,41.5833596707,42.040784085,41.2999554139,41.8791939387,28983972,0.0,1.0
NVDA,2019-07-16 00:00:00+00:00,167.08,168.17,164.84,166.67,8536098,41.5361256279,41.8070998734,40.9792611234,41.4341995355,34144392,0.0,1.0
NVDA,2019-07-17 00:00:00+00:00,169.71,169.99,165.97,167.15,8705107,42.1899442202,42.2595522832,41.2601793779,41.5535276436,34820428,0.0,1.0
NVDA,2019-07-18 00:00:00+00:00,170.18,172.71,167.85,170.13,11079474,42.306786326,42.9357448958,41.7275478013,42.2943563148,44317896,0.0,1.0
NVDA,2019-07-19 00:00:00+00:00,168.44,171.98,168.2,171.72,8622395,41.8742219342,42.7542667314,41.8145578801,42.6896306728,34489580,0.0,1.0
NVDA,2019-07-22 00:00:00+00:00,171.32,171.84,169.0,169.3,7898498,42.5901905828,42.7194626999,42.0134380603,42.0880181278,31593992,0.0,1.0
NVDA,2019-07-23 00:00:00+00:00,175.66,175.74,172.27,172.9,10704414,43.6691155602,43.6890035782,42.8263607967,42.9829789386,42817656,0.0,1.0
NVDA,2019-07-24 00:00:00+00:00,178.66,178.89,174.34,177.4,9155937,44.4149162358,44.4720942876,43.3409632629,44.101679952,36623748,0.0,1.0
